Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST /login,150,591,385,1834,179.28,100.000%,15.38619,6.32,3.68,420.8
TOTAL,150,591,385,1834,179.28,100.000%,15.38619,6.32,3.68,420.8
