Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST /login,300,159,120,422,69.63,100.000%,26.77615,9.91,5.52,379.0
TOTAL,300,159,120,422,69.63,100.000%,26.77615,9.91,5.52,379.0
