Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST /login,200,684,519,4111,379.62,0.000%,18.56838,10.52,2.61,580.0
TOTAL,200,684,519,4111,379.62,0.000%,18.56838,10.52,2.61,580.0
